,Vmag
532,9.16
533,9.03
534,10.07
535,9.76
536,9.35
537,10.95
538,8.87
539,6.68
540,9.69
541,8.05
542,10.3
543,6.07
544,8.51
545,7.71
546,8.56
547,8.26
548,11.55
549,8.62
550,10.92
551,10.51
552,9.83
553,9.84
554,9.74
555,8.21
556,8.72
557,8.03
558,9.0
559,6.19
560,11.79
561,8.22
562,7.93
563,10.18
564,8.98
565,9.13
566,6.91
567,8.79
568,8.23
569,12.19
570,10.24
571,8.83
572,7.62
573,8.96
574,10.41
575,8.97
576,9.61
577,8.29
578,8.3
579,8.26
580,7.44
581,9.52
582,8.2
583,8.68
584,8.65
585,10.52
586,8.41
587,9.18
588,8.42
589,8.86
590,7.92
591,10.97
592,8.85
593,9.31
594,10.28
595,7.56
596,7.88
597,7.99
598,8.23
599,8.52
600,9.14
601,6.2
602,7.64
603,8.95
604,7.48
605,7.06
606,7.33
607,8.98
608,8.24
609,8.53
610,8.4
611,7.48
612,8.46
613,9.29
614,8.57
615,8.7
616,8.5
617,8.37
618,6.87
619,7.5
620,7.39
621,8.19
622,7.56
623,8.37
624,7.39
625,6.73
626,8.66
627,8.25
628,8.47
629,8.01
630,6.83
631,9.06
632,8.79
633,7.44
634,6.43
635,5.93
636,8.85
637,9.86
638,8.55
639,7.66
640,7.82
641,9.08
642,10.1
643,8.21
644,8.85
645,7.79
646,7.58
647,7.85
648,7.18
649,7.54
650,9.72
651,7.12
652,9.77
653,8.84
654,5.67
655,8.15
656,9.61
657,8.19
658,7.27
659,8.51
660,8.36
661,10.0
662,8.74
663,6.18
664,10.26
665,10.16
666,8.31
667,8.58
668,7.04
669,8.81
670,5.99
671,8.22
672,9.86
673,8.0
674,9.4
675,9.1
676,2.07
677,8.11
678,8.89
679,9.43
680,7.59
681,8.72
682,9.86
683,9.23
684,9.5
685,10.73
686,7.59
687,7.41
688,9.26
689,7.78
690,7.76
691,8.94
692,8.95
693,6.41
694,6.11
695,7.76
696,7.38
697,6.21
698,7.05
699,7.44
700,8.5
701,7.84
702,11.01
703,7.88
704,9.1
705,8.65
706,8.41
707,7.81
708,7.43
709,8.76
710,7.58
711,9.55
712,6.82
713,10.24
714,6.24
715,7.31
716,10.52
717,9.27
718,7.13
719,9.14
720,8.48
721,8.57
722,7.21
723,9.05
724,7.72
725,8.03
726,6.47
727,5.57
728,6.32
729,7.78
730,11.65
731,8.58
732,10.37
733,9.23
734,9.2
735,6.93
736,11.73
737,9.32
738,7.11
739,9.79
740,8.21
741,8.42
742,7.05
743,9.26
744,2.28
745,8.77
746,9.25
747,9.3
748,10.63
749,9.9
750,9.89
751,9.33
752,7.78
753,7.02
754,11.26
755,8.89
